timestamp,message
1759946347235,🔒 Production mode: Enhanced log redaction enabled
1759946347235,"{""event"": ""\u2705 Log filtering configured"", ""logger"": ""app.backend.core.application"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.235217Z""}"
1759946347235,"{""event"": ""\ud83d\udd27 Ensuring required database tables exist..."", ""logger"": ""app.backend.core.application"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.235323Z""}"
1759946347235,"{""event"": ""\ud83d\udd27 Ensuring 25 required DynamoDB tables exist..."", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.235638Z""}"
1759946347247,"{""event"": ""\u2705 Table live_candles already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.246964Z""}"
1759946347265,"{""event"": ""\ud83d\udd28 Creating table trading_signals..."", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.265440Z""}"
1759946347267,"{""event"": ""\u274c Failed to create table trading_signals: Parameter validation failed:
Unknown parameter in input: \""TimeToLiveSpecification\"", must be one of: AttributeDefinitions, TableName, KeySchema, LocalSecondaryIndexes, GlobalSecondaryIndexes, BillingMode, ProvisionedThroughput, StreamSpecification, SSESpecification, Tags, TableClass, DeletionProtectionEnabled
Unknown parameter in GlobalSecondaryIndexes[0]: \""BillingMode\"", must be one of: IndexName, KeySchema, Projection, ProvisionedThroughput
Unknown parameter in GlobalSecondaryIndexes[1]: \""BillingMode\"", must be one of: IndexName, KeySchema, Projection, ProvisionedThroughput"", ""logger"": ""app.backend.core.database"", ""level"": ""error"", ""timestamp"": ""2025-10-08T17:59:07.266950Z""}"
1759946347275,"{""event"": ""\u2705 Table training_data already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.275080Z""}"
1759946347283,"{""event"": ""\u2705 Table exit_analysis_log already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.282848Z""}"
1759946347293,"{""event"": ""\u2705 Table position_monitoring_log already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.292903Z""}"
1759946347304,"{""event"": ""\u2705 Table trade_execution_metrics already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.304232Z""}"
1759946347313,"{""event"": ""\u2705 Table alert_notifications already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.313147Z""}"
1759946347324,"{""event"": ""\u2705 Table tradepulse-users already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.324291Z""}"
1759946347336,"{""event"": ""\u2705 Table tradepulse-virtual-portfolios already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.336565Z""}"
1759946347346,"{""event"": ""\u2705 Table ai_vs_random_experiments already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.346550Z""}"
1759946347354,"{""event"": ""\u2705 Table signal_accuracy_tracking already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.354329Z""}"
1759946347362,"{""event"": ""\u2705 Table trading_patterns already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.362401Z""}"
1759946347373,"{""event"": ""\u2705 Table user_performance_showcases already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.373621Z""}"
1759946347381,"{""event"": ""\u2705 Table model_performance_metrics already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.381568Z""}"
1759946347389,"{""event"": ""\u2705 Table users_enhanced already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.389170Z""}"
1759946347398,"{""event"": ""\u2705 Table invitations already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.398766Z""}"
1759946347410,"{""event"": ""\u2705 Table user_activity_logs already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.408643Z""}"
1759946347418,"{""event"": ""\u2705 Table messages already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.417896Z""}"
1759946347425,"{""event"": ""\u2705 Table message_deliveries already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.425108Z""}"
1759946347435,"{""event"": ""\u2705 Table announcements already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.435636Z""}"
1759946347442,"{""event"": ""\u2705 Table user_notification_preferences already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.442802Z""}"
1759946347450,"{""event"": ""\u2705 Table notification_templates already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.450754Z""}"
1759946347458,"{""event"": ""\u2705 Table health_checks already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.457934Z""}"
1759946347466,"{""event"": ""\u2705 Table learning_engine_state already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.465963Z""}"
1759946347474,"{""event"": ""\u2705 Table trade_analyses already exists"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.474633Z""}"
1759946347474,"{""event"": ""\ud83d\udcca Table creation complete: 24/25 tables ready"", ""logger"": ""app.backend.core.database"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.474761Z""}"
1759946347474,"{""event"": ""\u26a0\ufe0f 1 tables failed to create"", ""logger"": ""app.backend.core.database"", ""level"": ""error"", ""timestamp"": ""2025-10-08T17:59:07.474882Z""}"
1759946347475,"{""event"": ""\u274c Some database tables could not be created"", ""logger"": ""app.backend.core.application"", ""level"": ""error"", ""timestamp"": ""2025-10-08T17:59:07.475034Z""}"
1759946347475,"{""event"": ""\ud83d\ude80 Starting enterprise engine initialization (with completion tracking)..."", ""logger"": ""app.backend.core.application"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.475124Z""}"
1759946347475,🔍 DEBUG: Running engine initialization with completion tracking
1759946347475,"{""event"": ""\ud83d\ude80 PHASE 1: Adding Enterprise Trading Engine..."", ""logger"": ""app.backend.core.application"", ""level"": ""info"", ""timestamp"": ""2025-10-08T17:59:07.475297Z""}"
1759946347475,🧠 Initializing Enterprise Trading Engine...
1759946347475,📊 PIPELINE DEBUG: Enterprise Trading Engine - Starting initialization sequence
1759946347475,🎯 PIPELINE DEBUG: Enterprise Trading Engine - Component: Enterprise Trading Engine v1.0.0
1759946347475,🎯 PIPELINE DEBUG: Enterprise Trading Engine - Purpose: 6-Layer AI signal generation
1759946347475,🤖 PIPELINE DEBUG: Enterprise Trading Engine - Loading 6-layer AI models...
1759946347476,✅ Feature scalers loaded for professional deployment
1759946347476,🔄 Loading Layer 1 (Market Regime) (priority 1)...
1759946347507,Legacy model format detected: /app/app/backend/models/enterprise/layer_1_regime.pkl
1759946347507,✅ Layer 1 (Market Regime) loaded (legacy format): XGBClassifier
1759946347507,🔄 Loading Layer 3 (Reversal Detection) (priority 3)...
1759946347522,Legacy model format detected: /app/app/backend/models/enterprise/layer_3_reversal.pkl
1759946347522,✅ Layer 3 (Reversal Detection) loaded (legacy format): LGBMClassifier
1759946347522,🔄 Loading Layer 4 (Technical Filters) (priority 4)...
1759946347738,Legacy model format detected: /app/app/backend/models/enterprise/layer_4_filters.pkl
1759946347738,✅ Layer 4 (Technical Filters) loaded (legacy format): RandomForestClassifier
1759946347742,🔄 Loading Layer 5 (Confidence Scoring) (priority 5)...
1759946347745,Legacy model format detected: /app/app/backend/models/enterprise/layer_5_confidence.pkl
1759946347745,✅ Layer 5 (Confidence Scoring) loaded (legacy format): XGBRegressor
1759946347745,🔄 Loading Layer 6 (Adaptive Timing) (priority 6)...
1759946347748,Legacy model format detected: /app/app/backend/models/enterprise/layer_6_timing.pkl
1759946347748,✅ Layer 6 (Adaptive Timing) loaded (legacy format): LGBMRegressor
1759946347748,🔄 Loading LSTM models with recursion prevention...
1759946347869,✅ lstm_1m loaded with safe wrapper
1759946347940,✅ lstm_5m loaded with safe wrapper
1759946347940,✅ LSTM model loading completed with safe wrappers
1759946347940,✅ Model loading completed - AI layers operational
1759946347940,"✅ Models loaded successfully, initializing market service..."
1759946347940,✅ PIPELINE DEBUG: Enterprise Trading Engine - AI models loaded successfully
1759946347940,🔍 FEATURE_SCHEMA=67df9301 columns=9
1759946347940,📈 PIPELINE DEBUG: Enterprise Trading Engine - Initializing market data service...
1759946347940,🚀 Starting live market data service...
1759946347940,📊 PIPELINE DEBUG: Market Data Service - Starting initialization sequence
1759946347940,🎯 PIPELINE DEBUG: Market Data Service - Component: Live Market Data Service v1.0.0
1759946347941,🎯 PIPELINE DEBUG: Market Data Service - Purpose: Real-time market data streaming
1759946347941,🗄️ PIPELINE DEBUG: Market Data Service - Pre-populating cache from database...
1759946347941,🔄 Pre-populating cache from DB for LSTM...
1759946348014,📊 Found 800 total candles in DB
