timestamp,lookahead_hours,close,volume,rsi,macd,bb_position,volatility,trend_strength,volume_ratio,max_drawdown,final_pnl,exit_needed,entry_price,exit_price,hold_duration_minutes,target
2025-10-24T18:20:00,2,110546.81,1.73502,72.34707366903254,54.21393403556431,0.8116827565743243,0.0008276033846995897,0.0026155652087308657,0.31287274516402924,-0.1046886834635897,0.19735531038842122,False,110546.81,110764.98,121,0
2025-08-28T04:50:00,6,113002.49,64.91993,90.77655042220339,182.62844456989842,0.9065563131061003,0.0019592940857449813,0.006583357337490413,2.8280643340621006,-0.2657906033752051,-0.0596712514918986,False,113002.49,112935.06,361,0
2025-08-14T14:20:00,1,118469.56,30.6704,65.5428655871983,16.802847789993393,0.8893254965414675,0.0013198828808725365,0.0016316386353401517,0.978150547278274,-0.14779323903962885,-0.08580263149453259,False,118469.56,118367.91,61,0
2025-10-15T06:35:00,1,112017.33,3.92148,50.59497340851304,-65.3371711030486,0.6470155097163242,0.00045925651056468353,-0.0006813339338467998,0.3023004300231703,-0.017470511036111094,0.332207525389156,False,112017.33,112389.46,61,0
2025-10-05T01:20:00,1,122186.03,2.56043,33.101391650096545,1.46735589603486,0.1354862646814814,0.00037878874437669984,0.0005639653565667176,0.7301902003137912,-0.03603521613722848,0.17196728627650423,False,122186.03,122396.15,61,0
2025-08-29T07:20:00,4,110423.94,17.1966,12.39622237552507,-179.47372357413406,0.10925499464249828,0.002187711325502323,-0.007020799710128829,0.41459129654360066,-0.8819917130289026,-0.2951081078976129,True,110423.94,110098.07,241,1
2025-09-01T15:35:00,1,108696.86,4.10376,28.91354600092494,-103.65500528275152,0.3183767485943388,0.0013619522942406224,-0.0041663504323453575,0.5201245527541778,-0.07071961416364313,0.29358713765972205,False,108696.86,109015.98,61,0
2025-08-18T00:05:00,1,117350.52,4.81602,31.551236634275085,-47.49249413567304,0.1770520532197908,0.0004594795976447535,-0.0012828189096779768,0.8412447620080793,-0.24690985604494978,-0.006195115283685214,False,117350.52,117343.25,61,0
2025-08-27T03:05:00,1,111146.57,9.88929,31.610382901789194,-38.93695042387117,0.23553617537647456,0.0005061502205857999,-0.0012685960749607569,1.047648601315746,-0.20540444927810447,0.3758370591193195,False,111146.57,111564.3,61,0
2025-09-28T02:50:00,2,109427.14,9.87327,38.39662447257265,-7.463990079151699,0.2204721305255302,0.00036576668098509536,-0.0010129271258965816,3.642593923059596,-0.05598245554073218,-0.04933876550187206,False,109427.14,109373.15,121,0
2025-09-04T10:35:00,4,111014.31,4.91777,51.87557182067685,14.07858435001981,0.9529348097885257,0.0003690198586642083,0.00010024236814451072,1.1319136889074854,-1.1147121483707738,-0.8401979888898924,True,111014.31,110081.57,241,1
2025-09-10T23:05:00,6,114025.67,6.22962,77.39398414175872,41.444330540296505,1.0,0.0006040518104736815,0.001759406244009636,1.6427896400090658,-0.2845938112005786,0.09192666879309455,False,114025.67,114130.49,361,0
2025-10-12T14:50:00,2,112060.17,85.77817,73.19558893947291,156.55625572573626,0.943301371573765,0.0027808301693570767,0.006485057730400969,1.3685249951289205,0.0,1.7556014773134843,False,112060.17,114027.5,121,0
2025-10-10T18:35:00,6,117518.01,8.19256,43.90896757397616,-24.961694614685257,0.09449707262935426,0.0007403870426781128,-0.0006029591708591352,0.35769781688216545,-11.523978324684022,-4.613522642189058,True,117518.01,112096.29,361,1
2025-08-05T08:50:00,6,114238.99,2.81061,34.09271242924977,-8.462799045286374,0.15864218881738096,0.000825331626727899,-0.0025767685975820165,0.3159632482965858,-1.3375643464635008,-1.3096229229617715,True,114238.99,112742.89,361,1
2025-10-17T04:05:00,6,109158.68,2.07906,62.16058052434356,43.31724310318532,0.6535323799795946,0.0005861510351375556,0.0017533721528274128,0.19652141121593894,-4.239085705323651,-4.030462808821059,True,109158.68,104759.08,361,1
2025-08-25T09:20:00,1,111540.0,14.36983,78.98612960020671,11.426263348505017,0.7941031127975567,0.0009790557080069056,0.0019087050117536576,1.3955603450897682,-0.11759906759906603,-0.10556750941366326,False,111540.0,111422.25,61,0
2025-10-03T03:50:00,4,120281.7,9.64994,39.177086104459256,11.197948063228978,0.3504741469264352,0.000495148795053989,0.0008506452621560204,1.1646384723100478,-0.5324085043693259,-0.4775871973874638,True,120281.7,119707.25,241,1
2025-09-24T13:20:00,6,113057.12,3.2632,47.89080727951297,-0.8967156692087883,0.6354585473925507,0.0002264382357768173,-0.00023853668650487765,0.9288841952543317,-0.2065327685686669,0.4665694650633284,False,113057.12,113584.61,361,0
2025-08-27T22:05:00,2,111170.77,44.98838,31.306465385467092,-116.90856953660841,0.0,0.0012961467123986773,-0.0037291609183333968,3.913102923426295,-0.06187777596575804,0.15038125579232114,False,111170.77,111337.95,121,0
2025-09-05T15:50:00,1,110810.21,15.77281,47.56599985126821,19.770246603889973,0.36287103200810694,0.0008549872727321859,0.0013106035150984205,1.2876223545348646,-0.23932812689373265,-0.009213952396630603,False,110810.21,110800.0,61,0
2025-09-17T16:50:00,4,115548.19,63.27865,44.99509322865473,-30.81455664971145,0.5738745955540464,0.0004783904550204991,-0.001106214421989107,4.85321782811689,-0.635172216890639,0.10785110524015593,True,115548.19,115672.81,241,1
2025-08-24T02:05:00,2,115575.83,3.37894,60.174982911825644,29.91079831898969,1.0,0.0003140134216417096,0.00015421069986317973,0.2956969142393712,-0.5328449728632677,-0.3736248314202087,True,115575.83,115144.01,121,1
2025-10-31T07:35:00,1,109675.81,21.49499,50.62874482474859,20.9901322809892,0.3608429068710377,0.0002915642793254035,0.00015618485719036268,1.9069204521906964,-0.41335459478256076,0.030617508090436486,False,109675.81,109709.39,61,0
2025-09-02T13:20:00,2,109319.38,15.33639,71.16517640535038,90.37175139934698,0.8451360273810787,0.001109626919613907,0.003430167463768634,0.8893005204117882,-0.12499156142305182,1.7142523128104044,False,109319.38,111193.39,121,0
2025-08-27T20:20:00,4,112198.32,74.97615,87.7427434568265,33.871916509087896,1.0,0.0013547293148304578,0.002609487229433569,9.555759021946397,-1.0680462951673444,-0.7876053759093785,True,112198.32,111314.64,241,1
2025-09-27T11:20:00,6,109338.79,5.20285,38.49301056938072,-19.45190463300969,0.38234937043796924,0.00033765817961545983,-0.0010582018868276679,1.4595553304753728,-0.1269357379938022,-0.08678530281888013,False,109338.79,109243.9,361,0
